TopNow,RankType,DownloadNum,From,RunningType,ChannelID,GameType,Summary,DownloadURL,PlatForm,VersionID,Score,HotTrend,WebURL,WeekDownload,CompanyName,GetTime,GameName,Hot,PackageSize,iConURL
1,9,3228894,1,δ֪,4,网游RPG,"《全民奇迹》是一款以《奇迹MU》为蓝本的动作手游，游戏以Unity3D引擎打造，结合细微粒子特效，全息三维空间和真人动作捕捉技术，为玩家打造出一个旷世宏伟而流光绚丽的奇幻世界。华丽的技能特效，畅快的操作体验，把玩家带回到十年前那个奇迹的年代。

官方客服QQ：400 993 3199
小米玩家交流群： 372739179 。",http://i3.market.mi-img.com/download/AppStore/0f7f9e4e2dd584e8a225dde0c21168bddd477a9a4/com.qmqj.tianmashikong.mi.apk,1,1.1.0,3.5,δ֪,δ֪,δ֪,上海悦腾网络科技有限公司,2015-01-05 20:00,全民奇迹-十年经典,0,234.36M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/0dd1b652ee178445210c95093ceb434a15b2b8983
2,9,1384480,1,δ֪,4,塔防迷宫,《熊出没之保卫家园》根据今年最火的热播动画巨作《熊出没》改编，是一款绝对不容错过的最新国民级塔防游戏，其风格可爱、老少皆宜。在传统塔防上简化操作，增强丰富性，让你体会到不一样的乐趣！在游戏中，你将为熊大熊二穿上超萌装扮，乘坐强力飞碟，使用特色技能，与光头强斗智斗勇，抵挡光头强一波一波的进攻。最后光头强竟拿出了自己的秘密武器——超级滑翔机！熊大熊二能否抵挡光头强的逆袭，成功保卫家园呢？,http://i1.market.mi-img.com/download/AppStore/00da3944286e640b209b8de3c1cdeb20b94ef904a/com.lxd.bwjy.mi.apk,1,1.1.2,4,δ֪,δ֪,δ֪,北京联创无限科技有限公司,2015-01-05 20:00,熊出没之保卫家园,0,10.32M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/0773e4e9bf7a66e59487a227074cb74d95543f7a1
3,9,50609068,1,δ֪,4,休闲创意,"宇宙超人气三消休闲游戏“开心消消乐”,终于有安卓版啦！
PC版超过5000万玩家正在欢乐热玩！
iPad免费总榜第一名，iPhone免费榜第5名！ 

千万玩家共同推荐，你一定会喜欢o(*≧▽≦)ツ


【全民游戏】

*轻松滑动手指即可操作,玩法简单易上手!
清新可爱的高清画质，Q萌可爱的小动物们...老少皆宜！

【全新玩法】

*超过200个精彩有趣的游戏关卡.
伴随各种不同的障碍,难度逐步升级,挑战你的极限! 

*层层冻住的雪花、云朵上的彩虹、“谢耳朵”式有丝分裂的毒液..
藏着秘密的毛球球、专业生产茶叶蛋的鸡窝....
它们不是来卖萌的,是来捣乱的!你的任务就是消灭它们,获得更高分数!

集齐金色豆荚、极限时间挑战、消除指定物品...玩法超丰富！


【感官盛宴】

*数10种炫目华丽的特效，
直线特效、爆炸特效、混合多排消除、全屏爆炸....
多重创意组合搭配，加上激萌的特效音，让你的视觉和听觉同时感受超爽体验!

【旅途好搭档】

*再无流量困扰，
不用联网也能随时随地开心消消乐!
搭地铁、等公车、约会等男盆友/女盆友、坐火车飞机...开心消消乐就是打发时间的神器！


【关注我们】
新浪微博： @开心消消乐
微信公众号：开心消消乐",http://i4.market.mi-img.com/download/AppStore/033da6433c5834c7f1abcf78644c46bcee0b8c149/com.happyelements.AndroidAnimal.apk,1,1.19,5,δ֪,δ֪,δ֪,乐元素,2015-01-05 20:00,开心消消乐,0,36.59M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/17255d58-dd60-44a4-8107-e825a800da10
4,9,39489577,1,δ֪,4,跑酷闯关,《地铁跑酷》世界之旅达到著名的“雾都”英国伦敦，与可爱的雪人邦邦一起奔跑于地铁轨道之间，穿过历史悠久的伦敦塔桥，收集闪亮装饰的圣诞树，解锁惊喜无限的圣诞礼物，感受温馨安宁的节日气氛。版本新增动感十足的雪花滑板，滑浪板升级技能空中滑翔与街头滑板升级技能二连跳。小伙伴们，还等什么，赶紧下载游戏一起过圣诞吧！,http://i2.market.mi-img.com/download/AppStore/03fff258bbc064dc50f7814137a633d5d3f47a282/com.kiloo.subwaysurf.apk,1,2.26.0,3.5,δ֪,δ֪,δ֪,深圳市梦域科技有限公司,2015-01-05 20:00,地铁跑酷,0,34.68M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/0b4c85476fe177732dac316dc4768ff902b43f05f
5,9,26907153,1,δ֪,4,休闲创意,"联网捕鱼赢话费！ 
活动内容： 
各种头顶奖品的新奇小鱼，捉到它，奖品就是你的！ 
活动奖品： 
特别奖：800份话费直充，价值8000元 
一等奖（1份）：小米4 
二等奖（5份）：100元京东卡 
三等奖（10份）：50元京东卡 
纪念奖（15份）：捕鱼达人精美周边 
活动规则： 
联网渔场必须联网进入
玩家每天都有3次免费游戏次数，VIP2/3分别能提升1/2次游戏次数 
活动时间： 
2014/12/24—2015/1/25 
活动说明： 
获奖名单将在游戏界面的顶部滚屏展示 
活动奖励将于活动结束后15个工作日内发放完毕 
活动最终解释权归《捕鱼达人3》所有",http://i1.market.mi-img.com/download/AppStore/03e8144e9647985f5e1e12b4a8d53cb249741f0e9/org.cocos2d.fishingjoy3.mi.apk,1,1.0.6,4,δ֪,δ֪,δ֪,北京触控科技有限公司,2015-01-05 20:00,捕鱼达人3,0,30.32M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/09e8194e9746945f811e1fb4a0053eb344755d2f3
6,9,994029,1,δ֪,4,动作枪战,"做猎人还是猎物？这是个问题！人生中最惊险刺激的传奇狩猎探索之旅，尽在终极狩猎游戏：夺命侏罗纪！

圆你恐龙猎人梦
踏上奇幻之旅，探索隐秘无人岛，狩猎人类历史上最富传奇色彩、最凶恶残暴的动物---恐龙！被认为早已灭绝的物种重现生天，从温顺的剑龙，到最凶残的暴龙，一一出现在你面前！

奇幻之旅现开启
神秘海岸沉船遍布，热带密林变幻莫测，恐龙埋骨场惊心动魄！ 

强力武器来装备
对付强大的敌人，当然要配上最强力的武器！不论是拥有毁灭性威力的火箭发射器，还是短小精悍的忍者十字弓，我们的军火库里应有尽有！

多重挑战考验你
力破重重挑战，赢取彪悍步枪，散弹枪和冲锋枪！完成所有挑战还有终极大奖等着你！ 

超高画质撼人心
动态阴影，高清贴图，逼真模型，全部加在一起，保证让你享有移动平台上最震撼最完美的狩猎游戏体验！",http://i3.market.mi-img.com/download/AppStore/0510ef42dcd7444a3034bd973deed7561746bcf5b/com.glu.dino.mi.apk,1,5.3.2,4.5,δ֪,δ֪,δ֪,北京掌中米格信息技术有限公司,2015-01-05 20:00,夺命侏罗纪,0,43.76M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/084542c0-db66-413d-9eb9-7ea9a81c0574
7,9,36914125,1,δ֪,4,塔防迷宫,"[新世界黑暗时代]
这回戴夫时空穿梭来到了黑暗时代，植物军团的老朋友蘑菇家族将再次发力抗击僵僵入侵！
蘑菇家族可谓人才济济，除了招牌蘑菇大小喷菇，还有会成长的阳光菇、令僵尸为己作战的魅惑菇和能吸走铁器的磁力菇！
僵尸军团阵容毫不逊色，小丑能够反弹各种子弹、国王能够召唤强力骑士，还有千万小心会变羊的巫师！
更可怕的是，僵尸们还学会了借助各种药剂来强化自身的能力！

[中国版独有内容]
经典迷雾玩法重现，路灯花能够驱散迷雾，还有发现潜藏的盗贼僵尸！
大法师僵尸擅长让植物陷入沉睡，没关系咖啡豆能够及时唤醒它们！
烈焰菇和寒冰菇可是植物军团阵中的强力法师，随着体型成长，法术也会越来越强大！
橡木弓手箭无虚发，百步穿杨；骑兵僵尸单骑闯关，无可阻挡！

[签到植物蒲公英]
11月签到植物蒲公英萌动来袭！空投炸弹，远程打击，穿上专属装扮后还能地毯式轰炸僵僵！
坚持每日签到不仅可以获得蒲公英，还能获得专属装扮和进阶机会。

[新植物限时热卖]
活动时间：11月8日-11月23日
活动期间内，您可以从商城直接购买到黑暗时代新植物寒冰菇和花生射手的大礼包！进阶+装扮一步到位，并且您之前所收集到的任何碎片都不会浪费，会抵扣掉需要消耗的钻石。
[界面整合更清爽]
大地图上的用户界面已经焕然一新，整洁美观，使用方便！",http://i1.market.mi-img.com/download/AppStore/0eac15d840b3f6ed8edb095de6472ee276c4314e0/com.popcap.pvz2cthdxm.apk,1,1.3.3,2.5,δ֪,δ֪,δ֪,上海宝开软件有限公司,2015-01-05 20:00,植物大战僵尸2高清版,0,86.59M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/03fe294f1f8e444b73ae6c3963544e0663489f199
8,9,30425579,1,δ֪,4,休闲创意,《PopStar!消灭星星官方正版》是一款非常易上手的消除类游戏，游戏的规则简单：只需点击两个或两个以上颜色相同的方块即可消除。没有时间限制，每个阶段都有一个目标，完成即可进入下一关。简单轻松的治愈系游戏PopStar。 游戏虽然简单，但想要玩出很高的分数还是要耗费不少脑细胞的，拿popstar开动脑筋打发时间也是不错的选择。如果喜欢消除游戏的话，PopStar是一个不错的选择。 “官方正版”在游戏结束后，可以通过消耗一定数量“幸运星”货币来重新进行该关卡，助力获取高分。,http://file.market.xiaomi.com/download/AppStore/00dfd451630a446b73f08059338fc1ab85fb9d1aa/com.brianbaek.popstar.apk,1,4.0.1,4,δ֪,δ֪,δ֪,掌游天下（北京）信息技术有限公司,2015-01-05 20:00,PopStar消灭星星官方正版,0,5.92M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/b427d5f5-ef92-4469-8fb5-2711ce65cd39
9,9,1254390,1,δ֪,4,模拟经营,"我的世界又叫《Minecraft》，是属于3D的第一人称和第三人称沙盒游戏，所呈现的世界并 不是华丽的画面与特效，而是注重在游戏性上面。
玩家在游戏中做着建设，破坏等等许多事，透过像乐高一样的积木来组合与拼凑，轻而易举的就能制作出小木屋、城堡甚至城市，但是若再加上玩家的想象力，天空之城、地底都市都一样能够实现。
玩家不仅可以创造房屋建筑，甚至可以创造属于自己的都市和世界，玩家可以通过自己创造的作品来体验上帝一般的感觉

一款风靡世界的3D第一人称沙盘游戏，你可以在这个属于你的游戏世界中创造事物，充分发挥你的想象力吧！
【游戏特色】
随机的世界；
能够构建任何东西，只要你能想象得到；
一共有36种不同的基块；
-利用无线网络可以与朋友一起建设一个新世界。可以生成“无限世界”上，这意味着你在游戏中就算晃悠几个星期也不会走到世界边缘。丰富的砖石材料，比如花岗岩、绿宝石、可可豆、怪物蛋和睡莲。
同时，在人设上，新增了煤泥(Slimes)、末影人(Endermen)、狼( Wolves)、蘑菇(Mooshrooms)和银鱼(Silverfish)。其中，煤泥是一群不怀好意的小怪，他们被杀掉时会分解成小小的煤泥块，当完全挂掉时会化成煤球。最令人毛骨悚然的是末影人，当你目不斜视地从他身边走过，那就相安无事，如果你一旦和他对视，那就会被攻击，真是一朵奇葩！
此外，还有丰富的生物群落可供你尽情探索。生物群落是指游戏中预设的包含了地理特征、植被、动物以及天气模式的生态环境区域。这次将会有森林、沙漠、热带雨林、草原等风景各异的新环境等待着你……
",http://i5.market.mi-img.com/download/AppStore/0acc64018bf283f2548727c62e5fd7ff25c406487/com.games.wdsj.cn.apk,1,0.9.5,3.5,δ֪,δ֪,δ֪,繁阳,2015-01-05 20:00,我的世界,0,13.66M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/0d36f4a5-cdb8-4fec-ad42-0e86e3aadbc7
10,9,62751441,1,δ֪,4,跑酷闯关,"新年新气象，不知不觉中迎来了新的一年，不知不觉在已有2亿的小伙伴陪神庙逃亡2度过了2个春夏秋冬；在这大雪纷飞
的冬季，我们很高兴的迎来了神庙逃亡2的两周年，周年庆活动；为了感恩老用户的支持和迎接新的小伙伴，神庙逃亡2周
年庆活动全民大放送；

登陆游戏，周年庆萌宠在对你微笑哦，专门为周年庆诞生的宠物，全球限量抢购，来晚了就木有了；新增靓丽帅气的女警
人物角色，想要获得这个角色需要好运气哦，动动手指抽一抽，新角色到你手；周年庆，惊喜多多，任务多多，完成游戏
内的任务系统，可获得丰富的奖励哦，人物搭配不同，任务完成后获得奖励不同；原地复活ui美美哒，技能低可在游戏中
直接升级哦，绝对缩短了你变强的时间，打败对手分分钟；更有跑马灯系统成功植入，土壕随意任性，只要你购买了顶级
道具，立马公布全世界，在全世界人民面前炫耀；更有奖品抽抽抽不停，十连抽，让你获得意想不到的惊喜；

更大的惊喜在这里，周年庆极速模式诞生，在极速模式中，速度达到巅峰，你可以毫无顾忌横冲直撞，达到无人超越的速
度，勇敢的去争夺独一无二，神秘的神像吧！
",http://file.market.xiaomi.com/download/AppStore/0f672f416d568449814efd5c9619e63b8aa066d1d/com.imangi.templerun2.apk,1,1.11.5,3,δ֪,δ֪,δ֪,乐逗游戏,2015-01-05 20:00,神庙逃亡2,0,32.56M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/ba0d4cdf-7b85-4cc1-bad9-3721b128c58d
